data done
2018-01-09 23:33:53.321079: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321115: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321122: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321127: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:53.321132: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2018-01-09 23:33:54.701138: I tensorflow/core/common_runtime/gpu/gpu_device.cc:955] Found device 0 with properties: 
name: Tesla P4
major: 6 minor: 1 memoryClockRate (GHz) 1.1135
pciBusID 0000:81:00.0
Total memory: 7.43GiB
Free memory: 7.31GiB
2018-01-09 23:33:54.701204: I tensorflow/core/common_runtime/gpu/gpu_device.cc:976] DMA: 0 
2018-01-09 23:33:54.701220: I tensorflow/core/common_runtime/gpu/gpu_device.cc:986] 0:   Y 
2018-01-09 23:33:54.701241: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla P4, pci bus id: 0000:81:00.0)
('Step:', 176, 'loss:', 3.693768, 'acc:', 0.15091766)
('Step:', 177, 'loss:', 3.7139249, 'acc:', 0.14450024)
('Step:', 178, 'loss:', 3.7242568, 'acc:', 0.14152406)
('Step:', 179, 'loss:', 3.6666145, 'acc:', 0.16158235)
('Step:', 180, 'loss:', 3.5864201, 'acc:', 0.17587425)
('Step:', 181, 'loss:', 3.6063714, 'acc:', 0.1626054)
('Step:', 182, 'loss:', 3.6516945, 'acc:', 0.14806548)
('Step:', 183, 'loss:', 3.7242727, 'acc:', 0.14332218)
('Step:', 184, 'loss:', 3.6699898, 'acc:', 0.15764511)
('Step:', 185, 'loss:', 3.6800539, 'acc:', 0.15795512)
('Step:', 186, 'loss:', 3.7065473, 'acc:', 0.14877853)
('Step:', 187, 'loss:', 3.6145859, 'acc:', 0.17370412)
('Step:', 188, 'loss:', 3.6344795, 'acc:', 0.16074529)
('Step:', 189, 'loss:', 3.8038614, 'acc:', 0.13467263)
('Step:', 190, 'loss:', 3.7840419, 'acc:', 0.13330853)
('Step:', 191, 'loss:', 3.7515051, 'acc:', 0.13464162)
('Step:', 192, 'loss:', 3.7994041, 'acc:', 0.13333954)
('Step:', 193, 'loss:', 3.6737754, 'acc:', 0.15073165)
('Step:', 194, 'loss:', 3.6242461, 'acc:', 0.15175472)
('Step:', 195, 'loss:', 3.6420951, 'acc:', 0.14760044)
('Step:', 196, 'loss:', 3.6967793, 'acc:', 0.14453125)
('Step:', 197, 'loss:', 3.7374806, 'acc:', 0.13120042)
('Step:', 198, 'loss:', 3.727288, 'acc:', 0.1296193)
('Step:', 199, 'loss:', 3.7473874, 'acc:', 0.13324653)
('Step:', 200, 'loss:', 3.6288733, 'acc:', 0.15516493)
('Step:', 201, 'loss:', 3.5978699, 'acc:', 0.16697669)
('Step:', 202, 'loss:', 3.5390756, 'acc:', 0.17819943)
('Step:', 203, 'loss:', 3.5162921, 'acc:', 0.18167163)
('Step:', 204, 'loss:', 3.5674515, 'acc:', 0.1697979)
('Step:', 205, 'loss:', 3.619396, 'acc:', 0.15600199)
('Step:', 206, 'loss:', 3.6528382, 'acc:', 0.15079367)
('Step:', 207, 'loss:', 3.6519654, 'acc:', 0.15386286)
('Step:', 208, 'loss:', 3.5891836, 'acc:', 0.16217139)
('Step:', 209, 'loss:', 3.5886528, 'acc:', 0.16632564)
('Step:', 210, 'loss:', 3.5954151, 'acc:', 0.17652528)
('Step:', 211, 'loss:', 3.6481009, 'acc:', 0.16995288)
('Step:', 212, 'loss:', 3.7381437, 'acc:', 0.15829614)
('Step:', 213, 'loss:', 3.8102455, 'acc:', 0.13188244)
('Step:', 214, 'loss:', 3.6963959, 'acc:', 0.1547929)
('Step:', 215, 'loss:', 3.6096966, 'acc:', 0.17038693)
('Step:', 216, 'loss:', 3.6465297, 'acc:', 0.16260542)
('Step:', 217, 'loss:', 3.7847686, 'acc:', 0.12847222)
('Step:', 218, 'loss:', 3.7854426, 'acc:', 0.13222347)
('Step:', 219, 'loss:', 3.795836, 'acc:', 0.13554068)
('Step:', 220, 'loss:', 3.725389, 'acc:', 0.14344618)
('Step:', 221, 'loss:', 3.6608572, 'acc:', 0.14930555)
('Step:', 222, 'loss:', 3.6688752, 'acc:', 0.15445189)
('Step:', 223, 'loss:', 3.6024582, 'acc:', 0.17416915)
('Step:', 224, 'loss:', 3.6131263, 'acc:', 0.17243305)
('Step:', 225, 'loss:', 3.8301508, 'acc:', 0.1280072)
('Step:', 226, 'loss:', 3.8678617, 'acc:', 0.12850322)
('Step:', 227, 'loss:', 3.7659068, 'acc:', 0.14710441)
('Step:', 228, 'loss:', 3.612586, 'acc:', 0.16241941)
('Step:', 229, 'loss:', 3.6020525, 'acc:', 0.16130333)
('Step:', 230, 'loss:', 3.5935564, 'acc:', 0.16561259)
